id,title,url,score,author,time,comments_count
40958937,Elligator: Elliptic-curve points indistinguishable from uniform random strings,https://dl.acm.org/doi/10.1145/2508859.2516734,29,NavinF,1720933107,2
40987730,Jailbreaking RabbitOS,https://www.da.vidbuchanan.co.uk/blog/r1-jailbreak.html,902,Retr0id,1721234498,32
40993389,Collection of Dark Patterns and Unethical Design,https://hallofshame.design/collection/,27,janandonly,1721288518,4
40986894,Panic at the Job Market,https://matt.sh/panic-at-the-job-market,1288,speckx,1721229911,159
40987402,TinyPod – Apple Watch case with scroll wheel,https://thetinypod.com/,684,herbertl,1721232502,71
40991182,A RP2040 based DECstation 3000 emulator that can run DECWindows,https://github.com/rscott2049/DECstation2040,123,dmitrygr,1721257886,12
40992982,My daughter (7 years old) used HTML to make a website,https://naya.lol,147,fintler,1721283891,41
40990768,SAPwned: SAP AI vulnerabilities expose customers' cloud environments and privat,https://www.wiz.io/blog/sapwned-sap-ai-vulnerabilities-ai-security,133,todsacerdoti,1721253759,9
40992038,Who Killed the World?,https://pudding.cool/2024/07/scifi/,55,surprisetalk,1721270500,17
40988395,The unexpected poetry of PhD acknowledgements,https://science.anu.edu.au/news-events/news/unexpected-poetry-phd-acknowledgements,222,zsrobinson,1721238278,22
40988837,A brief interview with Awk creator Dr. Brian Kernighan (2022),https://pldb.io/blog/brianKernighan.html,181,breck,1721240924,12
40972851,"He secretly changed this freeway sign, helped millions of drivers [video]",https://www.youtube.com/watch?v=26-4oARwfF4,50,guiambros,1721091747,5
40992654,Amazon's Kindle Direct Publishing is a dystopian nightmare,,199,suzzer99,1721279121,20
40991075,Closed form arc length parametrization is impossible for quadratic Bézier curves,https://ninjakoa.la/curly_curves/posts/quadratic_bezier_arc_length_parametrization/,64,NinjaKoala,1721256699,8
40965803,Releasing an Album on Floppy Disk,https://www.michaelgale.dev/blog/releasing-an-album-on-floppy-disk,36,edent,1721026895,10
40989069,Little Languages (1986) [pdf],https://staff.um.edu.mt/afra1/seminar/little-languages.pdf,114,ashish01,1721242260,6
40988954,NVIDIA Transitions Fully Towards Open-Source Linux GPU Kernel Modules,https://developer.nvidia.com/blog/nvidia-transitions-fully-towards-open-source-gpu-kernel-modules/,596,shaicoleman,1721241636,33
40990641,Show HN: SQLite Transaction Benchmarking Tool,https://github.com/seddonm1/sqlite-bench,63,seddonm1,1721252682,1
40954208,Pseudo Scheme: Scheme Implemented on Top of Common Lisp,https://www.cs.cmu.edu/afs/cs/project/ai-repository/ai/lang/scheme/impl/pseudo/0.html,46,interpunct,1720879762,4
40989451,Show HN: Product Hunt for Music,https://tracklist.it/,97,ewhicher,1721244664,11
40976776,The struggle to understand why earthquakes happen in America's heartland,https://undark.org/2024/07/15/enigmatic-earthquake-hotspot-america-heartland/,26,LinuxBender,1721138872,4
40991652,Etleap (YC W13) Is Hiring a Customer Success Manager (San Francisco),https://etleap.com/careers/customer-success-manager/,1,romming,1721264448,0
40952294,Ask HN: Any way to borrow compute from Apple M1,,9,2Gkashmiri,1720853063,3
40988076,Prover-Verifier Games improve legibility of language model outputs,https://openai.com/index/prover-verifier-games-improve-legibility/,96,davidbarker,1721236537,4
40991661,Show HN: Llm2sh – Translate plain-language requests into shell commands,https://github.com/randombk/llm2sh,31,RandomBK,1721264568,5
40992760,Self-Awareness Might Not Have Evolved to Benefit the Self After All,https://www.sciencealert.com/self-awareness-might-not-have-evolved-to-benefit-the-self-after-all,32,indigoabstract,1721280605,10
40993787,So you want to compete with or replace open source,https://drewdevault.com/2024/07/16/2024-07-16-So-you-want-to-compete-with-FOSS.html,8,LaSombra,1721293250,0
40985609,Launch HN: Traceloop (YC W23) – Detecting LLM Hallucinations with OpenTelemetry,,87,GalKlm,1721222343,15
40985433,Reverse-Engineering an IP Camera (2019),https://dalpix.com/reverse-engineering-ip-camera-part-1,147,jnord,1721221339,17
40972609,Electra: Pre-Training Text Encoders as Discriminators Rather Than Generators,https://arxiv.org/abs/2003.10555,34,luu,1721089100,2
40992644,Money and Happiness: Extended Evidence Against Satiation,https://happiness-science.org/money-happiness-satiation/,66,ano-ther,1721279019,18
40978670,Vulnerable transistors threaten to upend Europa Clipper mission,https://www.science.org/content/article/vulnerable-transistors-threaten-upend-europa-clipper-mission,153,cratermoon,1721152213,16
40992854,SKI Combinator Calculus,https://en.wikipedia.org/wiki/SKI_combinator_calculus,17,barrister,1721282196,0
40987770,Show HN: VisCircuit – A Note-Taking Website for Electronics and Circuits,https://viscircuit.com,74,darrenyaoyaoyao,1721234774,5
40988917,Htmx: Simplicity in an Age of Complicated Solutions,https://www.erikheemskerk.nl/htmx-simplicity/,34,thunderbong,1721241438,4
40992762,Everyone Is Judging AI by These Tests. Experts Say They're Close to Meaningless,https://themarkup.org/artificial-intelligence/2024/07/17/everyone-is-judging-ai-by-these-tests-but-experts-say-theyre-close-to-meaningless,15,billybuckwheat,1721280620,3
40992323,That Time Apple Told Apple III Customers to Drop Their Computers,https://www.techjunkie.com/apple-iii-drop/,23,thunderbong,1721274493,9
40989806,What can TypeScript learn from Zig? What can Zig learn from TypeScript?,https://effectivetypescript.com/2024/07/17/advent2023-zig/,41,danvk,1721246610,4
40982118,Import and Export Markdown in Google Docs,https://workspaceupdates.googleblog.com/2024/07/import-and-export-markdown-in-google-docs.html,576,pentagrama,1721184291,31
40992884,"No home in Carmel, California has an address. That's about to change",https://www.sfgate.com/centralcoast/article/carmel-california-no-street-addresses-19573429.php,12,Stratoscope,1721282548,3
40987427,Psilocybin desynchronizes the human brain,https://www.nature.com/articles/s41586-024-07624-5,209,kieckerjan,1721232625,17
40978596,Mystery as 4k-year-old axe-heads sent to museum,https://www.bbc.com/news/articles/cydvn07d7vdo,74,thunderbong,1721151652,20
40991549,Overcoming the Limits of Large Language Models,https://seanpedersen.github.io/posts/overcoming-llm-limits,53,sean_pedersen,1721262924,16
40976474,"NSCopyObject, the griefer that keeps on griefing",https://wadetregaskis.com/nscopyobject-the-griefer-that-keeps-on-griefing/,114,chmaynard,1721136847,12
40983734,The Greatest Educational Life Hack: Learning Math Ahead of Time,https://www.justinmath.com/the-greatest-educational-life-hack-learning-math-ahead-of-time/,280,harperlee,1721206015,46
40951732,The Phantoms Haunting History,https://www.noemamag.com/the-phantom-haunting-history/,34,lermontov,1720844297,11
40991894,Americans' confidence in higher education has taken a nosedive,https://lithub.com/americans-confidence-in-higher-education-has-taken-a-nosedive/,98,pseudolus,1721268229,28
40992013,GMC made a motorhome that pumped sewage through its exhaust on purpose,https://www.thedrive.com/news/culture/gmc-made-a-motorhome-that-pumped-sewage-through-its-exhaust-on-purpose,53,cebert,1721270176,10
40966262,Show HN: Blitzping – A far faster nping/hping3 SYN-flood alternative with CIDR,https://github.com/Thraetaona/Blitzping,33,VioletVillain,1721033938,4
40949489,How we sped up Notion in the browser with WASM SQLite,https://www.notion.so/blog/how-we-sped-up-notion-in-the-browser-with-wasm-sqlite,231,jFriedensreich,1720818701,23
